	XPS_UPS_18Jan2022/P3HT/Au/1/2: Sequence/Valence-HeI	
Binding energy (eV)	Counts per second	Trans Fn
-0.02	206	22684.84936
-0.04	219	22685.22681
-0.06	204	22685.60424
-0.08	202	22685.98166
-0.1	208	22686.35906
-0.12	205	22686.73645
-0.14	178	22687.11382
-0.16	195	22687.49117
-0.18	187	22687.86851
-0.2	185	22688.24584
-0.22	167	22688.62314
-0.24	178	22689.00044
-0.26	166	22689.37771
-0.28	180	22689.75497
-0.3	189	22690.13222
-0.32	194	22690.50945
-0.34	185	22690.88667
-0.36	181	22691.26386
-0.38	183	22691.64105
-0.4	173	22692.01822
-0.42	176	22692.39537
-0.44	175	22692.77251
-0.46	165	22693.14963
-0.48	167	22693.52673
-0.5	180	22693.90382
-0.52	178	22694.2809
-0.54	166	22694.65796
-0.56	186	22695.035
-0.58	177	22695.41203
-0.6	174	22695.78904
-0.62	169	22696.16603
-0.64	166	22696.54302
-0.66	172	22696.91998
-0.68	157	22697.29693
-0.7	172	22697.67386
-0.72	144	22698.05078
-0.74	144	22698.42769
-0.76	153	22698.80457
-0.78	144	22699.18144
-0.8	154	22699.5583
-0.82	146	22699.93514
-0.84	162	22700.31197
-0.86	165	22700.68877
-0.88	136	22701.06557
-0.9	141	22701.44235
-0.92	160	22701.81911
-0.94	132	22702.19585
-0.96	137	22702.57259
-0.98	125	22702.9493
-1	136	22703.326
